"filename", "language", "HTML", "Properties", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Message.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 38, 11, 157
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Notification.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 24, 7, 87
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Order.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 32, 9, 128
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Product.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 18, 7, 125
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Rating.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 25, 7, 116
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Seller.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 30, 8, 123
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\ShoppingCart.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 33, 10, 108
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\User.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 27, 8, 105
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\UserInteraction.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 30, 9, 138
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\interfaces\IProductService.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 30, 9, 58
